2015-01-07,17584.52
2015-01-06,17371.64
2015-01-05,17501.65
2015-01-02,17832.99
2014-12-31,17823.07
2014-12-30,17983.07
2014-12-29,18038.23
2014-12-26,18053.71
2014-12-24,18030.21
2014-12-23,18024.17
2014-12-22,17959.44
2014-12-19,17804.8
2014-12-18,17778.15
2014-12-17,17356.87
2014-12-16,17068.87
2014-12-15,17180.84
2014-12-12,17280.83
2014-12-11,17596.34
2014-12-10,17533.15
2014-12-09,17801.2
2014-12-08,17852.48
2014-12-05,17958.79
2014-12-04,17900.1
2014-12-03,17912.62
2014-12-02,17879.55
2014-12-01,17776.8
2014-11-28,17828.24
2014-11-26,17827.75
2014-11-25,17814.94
2014-11-24,17817.9
2014-11-21,17810.06
